Feature,Fraud Mean,Normal Mean,Absolute Difference
V3,-7.0332810485965584,0.012170917031845403,7.045451965628404
V14,-6.971722894107602,0.012064392184377496,6.98378728629198
V17,-6.665836399449663,0.011535063252129248,6.677371462701792
V12,-6.259393036190131,0.010831723172555738,6.270224759362687
V10,-5.676882870194368,0.009823703892289417,5.686706574086657
V7,-5.5687310837427395,0.009636549929484086,5.578367633672223
V1,-4.771948441479082,0.008257737485563688,4.7802061789646455
V4,4.542029104423092,-0.00785986782046522,4.549888972243557
V16,-4.139945699092808,0.007164072539099487,4.147109771631907
V11,3.800172911374607,-0.006576104223821521,3.8067490155984287
